nombre_diagnostico|nombre_diagnostico_psiquiatrico
Pancreatitis aguda biliar sin necrosis ni infección|Esquizofrenia
Nasofaringitis aguda [resfriado común]|Esquizofrenia
Otros tipos de esquizofrenia|Esquizofrenia
Ceguera, ojo derecho, visión normal en ojo izquierdo|Esquizofrenia
Dolor ocular, ojo derecho |Esquizofrenia
Ceguera, un ojo, ojo no especificado|Esquizofrenia
Hipertensión ocular, ojo no especificado|Esquizofrenia
Miopía degenerativa, ojo no especificado |Esquizofrenia
Quiste biliar|Otros tipos de esquizofrenia
Carcinoma de células hepáticas|Esquizofrenia
Otras cirrosis de hígado|Esquizofrenia
Historia personal de enfermedad ulcerosa péptica|Esquizofrenia
Ausencia adquirida (de parte) del estómago|Esquizofrenia
Varices esofágicas secundarias sin hemorragia|Esquizofrenia
Catarata no especificada|Esquizofrenia
Otras complicaciones de muñón de amputación|Otros tipos de esquizofrenia
Artrosis primaria unilateral, rodilla no especificada|Esquizofrenia
Fractura bimaleolar desplazada de pierna izquierda, contacto inicial por fractura cerrada|Esquizofrenia
Insuficiencia respiratoria no especificada, sin especificar si con hipoxia o con hipercapnia|Esquizofrenia
Necesidad de asistencia con cuidado personal|Esquizofrenia
Artrosis de rodilla no especificada|Esquizofrenia
Fractura bimaleolar sin desplazamiento de pierna izquierda, contacto sucesivo por fractura cerrada con curas rutinarias|Esquizofrenia
Resistencia a múltiples antibióticos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Trastorno neurocognitivo por cuerpos de Lewy|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Uso prolongado (actual) de aspirina|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras complicaciones de muñón de amputación|Trastornos delirantes
Infección por Staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Ausencia adquirida de pie no especificado|Trastornos delirantes
Diabetes mellitus tipo 2 con angiopatía periférica diabética sin gangrena|Trastornos delirantes
Otros trastornos de arterias, arteriolas y capilares en enfermedades clasificadas bajo otro concepto|Trastornos delirantes
Estenosis (de la válvula) aórtica no reumática|Trastornos delirantes
Insuficiencia cardiaca sistólica (congestiva), crónica|Trastornos delirantes
Trastorno específico del desarrollo de la función motora|Esquizofrenia
Psoriasis, no especificada|Esquizofrenia
Trastornos no inflamatorios del ovario, trompa de Falopio y ligamento ancho, no especificados|Esquizofrenia
Otros tipos de estreñimiento|Esquizofrenia
Carencia de otras vitaminas del grupo B especificadas|Esquizofrenia
Insuficiencia renal no especificada|Esquizofrenia
Deshidratación|Esquizofrenia
Gastroenteritis y colitis tóxica|Esquizofrenia
Efecto adverso de antibióticos por vía sistémica no especificados, contacto inicial|Esquizofrenia
Epilepsia (focal) (parcial) sintomática relacionada con la localización y síndromes epilépticos con crisis parciales simples, no intratable, sin estado de mal epiléptico|Esquizofrenia
Gastritis crónica no especificada sin hemorragia|Esquizofrenia
Bocio multinodular no tóxico|Esquizofrenia
Trastorno distímico|Esquizofrenia
Ausencia adquirida de ovario, unilateral|Esquizofrenia
Historia personal de neoplasia benigna de cerebro|Otros tipos de esquizofrenia
Otras malformaciones congénitas de las cámaras y conexiones cardiacas|Esquizofrenia
Discapacidad intelectual grave|Esquizofrenia
Discapacidad intelectual moderada|Trastornos delirantes
Luxación de prótesis interna de articulación no especificada, contacto inicial|Otros tipos de esquizofrenia
Catarata senil, no especificada|Esquizofrenia
Galactorrea no asociada al parto|Otros tipos de esquizofrenia
Mialgia|Otros tipos de esquizofrenia
Historia personal de enfermedades sanguíneas, órganos hemopoyéticos y ciertos trastornos que afectan al mecanismo inmunitario|Otros tipos de esquizofrenia
Consumo de tabaco|Trastorno psicótico breve
Pólipo de colon|Esquizofrenia
Leucemia aguda promielocítica, sin haber alcanzado remisión|Esquizofrenia
Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Parada cardiaca debida a otra afección subyacente|Esquizofrenia
Hiperplasia prostática benigna sin síntomas de tracto urinario inferior|Trastornos esquizoafectivos
Historia personal de otros trastornos mentales y del comportamiento|Trastornos esquizoafectivos
Diarrea, no especificada|Esquizofrenia
Enfermedad vascular periférica, no especificada|Esquizofrenia
Compresión de vena|Otros tipos de esquizofrenia
Neoplasia maligna de colon sigmoide|Trastornos esquizoafectivos
Neoplasia maligna secundaria de pulmón no especificado|Trastornos esquizoafectivos
Insuficiencia respiratoria aguda con hipoxia|Trastornos esquizoafectivos
Neoplasia maligna secundaria de retroperitoneo y peritoneo|Trastornos esquizoafectivos
Dolor (agudo) (crónico) relacionado con neoplasia|Trastornos esquizoafectivos
Hernia diafragmática sin obstrucción ni gangrena|Trastornos esquizoafectivos
Contacto para cuidados paliativos|Trastornos esquizoafectivos
Carcinoma basocelular de piel de parte no especificada de la cara|Otros tipos de esquizofrenia
Infección por micobacterias pulmonares|Otros tipos de esquizofrenia
Enfermedad inflamatoria de hígado, no especificada|Esquizofrenia
Historia personal de neumonía (recurrente)|Esquizofrenia
Fractura no especificada de extremo inferior de húmero derecho, contacto inicial por fractura cerrada|Esquizofrenia
Dolor en abdomen superior, no especificado|Otros tipos de esquizofrenia
Rinitis crónica|Esquizofrenia
Infección por Staphylococcus aureus resistente a meticilina como causa de enfermedades clasificadas bajo otro concepto|Esquizofrenia
Abuso de cocaína, sin complicaciones|Esquizofrenia
Dependencia de otra sustancia psicoactiva, con otro trastorno inducido por sustancias psicoactivas|Esquizofrenia
Ausencia adquirida de otros órganos|Esquizofrenia
Síndrome de intestino irritable sin diarrea|Trastornos delirantes
Otras hemorroides|Trastornos delirantes
Presencia de articulación de cadera derecha artificial|Esquizofrenia
Neumotórax, no especificado|Esquizofrenia
Deterioro cognitivo relacionado con la edad|Esquizofrenia
Hipercolesterolemia pura, no especificada|Trastornos esquizoafectivos
Historia familiar de discapacidad intelectual|Trastornos delirantes
Trastorno no especificado de disco intervertebral dorsal, dorsolumbar y lumbosacro|Otros tipos de esquizofrenia
Trastorno de personalidad paranoide|Esquizofrenia
Enfermedad por reflujo gastroesofágico con esofagitis|Otros tipos de esquizofrenia
Otras complicaciones y trastornos de aparato digestivo posprocedimiento|Trastornos delirantes
Otros trastornos especificados de dientes y estructuras de soporte|Trastornos delirantes
Otros procedimientos quirúrgicos como causa de reacción anormal del paciente o de complicación posterior, sin mención de evento adverso en el momento del procedimiento|Trastornos delirantes
Dolor abdominal no especificado|Trastornos delirantes
Estreñimiento, no especificado|Trastornos delirantes
Neoplasia maligna de localizaciones contiguas de mama femenina derecha|Trastornos delirantes
Tirotoxicosis con bocio difuso sin crisis tirotóxica ni tormenta tiroidea|Trastornos delirantes
Diabetes mellitus tipo 2 con hipoglucemia sin coma|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Uso prolongado (actual) de insulina|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Retención urinaria, no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Diabetes mellitus tipo 2 con polineuropatía diabética|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Síndrome del túnel carpiano, extremidad superior izquierda|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Diabetes mellitus tipo 2 con nefropatía diabética crónica|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 1 a 4 o con enfermedad renal crónica no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad renal crónica, estadio 3 (moderada)|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Diverticulosis de colon sin perforación ni absceso, sin hemorragia|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Aterosclerosis de arterias nativas de extremidades con claudicación intermitente, extremidad no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otros tipos de enfermedades pulmonares intersticiales especificadas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Deformidad no especificada, dedo(s) de mano derecha|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Fractura de trocánter no especificado de fémur izquierdo, contacto inicial por fractura cerrada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Historia personal de ataque isquémico transitorio (AIT) e infarto cerebral sin déficits residuales|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hipercolesterolemia pura|Esquizofrenia
Estado de dependencia de respirador [ventilador]|Esquizofrenia
Dependencia de nicotina, otro producto de tabaco, sin complicaciones|Esquizofrenia
Neumonía por Streptococcus pneumoniae|Esquizofrenia
Hemiplejia y hemiparesia tras enfermedad cerebrovascular no especificada con afectación de lado derecho dominante|Otros tipos de esquizofrenia
Enfermedad renal crónica hipertensiva con enfermedad renal crónica en estadio 5 o con enfermedad renal en estadio terminal|Otros tipos de esquizofrenia
Hemorragia subdural no traumática, no especificada|Esquizofrenia
Escala de coma, apertura ocular, al sonido, 24 horas o más del ingreso hospitalario|Esquizofrenia
Escala de coma, mejor respuesta verbal, ninguna, 24 horas o más después del ingreso hospitalario|Esquizofrenia
Escala de coma, mejor respuesta motora, retirada en flexión, 24 horas o más después del ingreso hospitalario|Esquizofrenia
Enfermedad cardiaca hipertensiva sin insuficiencia cardiaca|Esquizofrenia
Artritis reumatoide no especificada|Esquizofrenia
Osteítis deformante, hueso no especificado|Esquizofrenia
Trastorno de personalidad obsesivo-compulsivo|Trastornos esquizoafectivos
Alucinaciones auditivas|Trastornos esquizoafectivos
Trastorno de identidad sexual, no especificado|Trastornos esquizoafectivos
Esguince de ligamento colateral interno de rodilla izquierda, contacto inicial|Esquizofrenia
Diabetes mellitus tipo 2 con nefropatía diabética|Trastornos delirantes
Infarto de miocardio antiguo|Trastornos delirantes
Ausencia adquirida de ovarios, bilateral|Trastornos delirantes
Encefalitis herpética|Esquizofrenia
Asma no especificada con exacerbación (aguda)|Esquizofrenia
Embolia y trombosis agudas de vena axilar izquierda|Esquizofrenia
Embolia y trombosis agudas de vena subclavia izquierda|Esquizofrenia
Malnutrición calórico-proteica leve|Esquizofrenia
Hemorragia, no clasificada bajo otro concepto|Otros tipos de esquizofrenia
Malnutrición calórico-proteica no especificada|Otros tipos de esquizofrenia
Flebitis y tromboflebitis de otras localizaciones|Otros tipos de esquizofrenia
Bronconeumonía, microorganismo no especificado|Esquizofrenia
